序号,节气,时令(约公历),时段,主题,活动要点,主要舞台,代表物象,参与人群,参与度(1-5),繁华指数(0-100)
1,立春,2/4,白昼,迎春启岁,迎春社祭/行春小市/咬春,城门外社坛与坊巷小市,春盘春饼/彩旗/柳枝,士庶与商贩,4,78
2,雨水,2/19,白昼,祈雨备耕,祈雨小仪/修农具/售菜苗,里巷与田畔,木犁/菜苗/雨幡,农户与手艺人,3,60
3,惊蛰,3/5,白昼,驱虫启耕,击鼓醒虫/撒灰驱虫/动工开犁,城外田畦,土灰/鼓槌/犁具,农户与儿童,3,62
4,春分,3/20,白昼,踏青平日,踏青游春/放纸鸢/试日影,郊野与河堤,纸鸢/野花/日晷影,市民与仕女,4,76
5,清明,4/4,白昼,祭扫游春,扫墓祭祖/插柳/郊外踏青,城郊墓地与郊野,纸钱/柳枝/青团,家族与游人,4,72
6,谷雨,4/20,白昼,采茶润田,采春茶/售新茶/田间除草,茶肆与田畦,茶篓/新茶/锄头,茶农与茶客,3,64
7,立夏,5/5,白昼,换季启暑,称人换装/斗草/售凉器,街市与庭院,扇子/凉席/夏衣,市民与孩童,4,70
8,小满,5/21,白昼,看田问丰,看苗巡田/补秧/粮价市报,田间与粮市,稻秧/秤杆/谷袋,农户与粮商,3,58
9,芒种,6/5,白昼,播种忙时,插秧竞速/雇工集市/交换农具,田畦与集市,稻秧/草帽/竹筐,农户与雇工,4,69
10,夏至,6/21,夜间,纳凉长日,夜市延时/卖冷饮/河岸纳凉,御街夜市与河岸,凉茶/灯笼/竹椅,市民与摊贩,5,82
11,小暑,7/7,白昼,消暑养生,避暑游宴/售清暑方/换扇,园林与药铺,折扇/药包/凉糕,士绅与市民,3,63
12,大暑,7/22,白昼,极热应对,井亭取水/售冰品/遮阳市集,井亭与街市,冰盆/遮阳伞/草帽,全城民众,4,77
13,立秋,8/7,白昼,迎秋新衣,迎秋小礼/售秋衣/试新谷,坊市与粮行,秋衣/新谷/枣果,市民与商贩,4,71
14,处暑,8/23,白昼,收成预热,晒谷备仓/修仓具/秋市预告,晒场与仓场,谷堆/木杵/仓牌,农户与仓吏,3,59
15,白露,9/7,清晨,露采养秋,采露润肤/采药入市/晨市,河畔与药市,露水瓮/草药/露荷,妇女与药商,3,61
16,秋分,9/23,夜间,赏月分秋,拜月小宴/售月饼/灯饰夜市,坊巷夜市与庭院,月饼/灯彩/桂枝,家户与游人,4,80
17,寒露,10/8,白昼,入寒备藏,腌菜晒鱼/售棉絮/备炭,街市与晒场,腌缸/棉絮/炭筐,市民与渔户,3,62
18,霜降,10/23,白昼,收尾收成,收割扫尾/售寒衣/酒坊起酿,田畦与布市,镰刀/寒衣/酒坛,农户与布商,4,68
19,立冬,11/7,白昼,入冬礼俗,补冬宴/售滋补物/冬衣集市,酒楼与街市,热汤/鹿角/冬衣,市民与酒客,4,74
20,小雪,11/22,白昼,初雪防寒,添柴备炭/售手炉/裘帽上新,坊巷与炭市,手炉/炭篓/裘帽,市民与炭贩,3,65
21,大雪,12/7,白昼,严冬运备,腌腊制作/雪后扫街/驿站保运,作坊与驿站,腊肉/雪铲/驿旗,作坊工匠与驿卒,3,67
22,冬至,12/22,夜间,祭冬团聚,宗族祭礼/夜宴/换新历,家宅与宗祠,祭品/新历/汤羹,家族与邻里,5,86
23,小寒,1/5,白昼,深寒进补,售温补药/汤饼热食/修火炕,药铺与食肆,药包/汤饼/炭炉,市民与病弱者,3,66
24,大寒,1/20,白昼,岁末备年,年货预售/修门神/扫尘备岁,街市与家宅,年货篮/门神/扫帚,全城民众,4,79
